Wavelength,Intensity
5494.65,4.62E-14
5497.4,4.51E-14
5500.15,4.65E-14
5502.9,4.74E-14
5505.65,4.71E-14
5508.4,4.79E-14
5511.15,4.64E-14
5513.9,4.62E-14
5516.65,4.67E-14
5519.4,4.74E-14
5522.15,4.61E-14
5524.9,4.64E-14
5527.65,4.63E-14
5530.4,4.61E-14
5533.15,4.76E-14
5535.9,4.74E-14
5538.65,4.53E-14
5541.4,4.61E-14
5544.15,4.59E-14
5546.9,4.51E-14
5549.65,4.68E-14
5552.4,4.80E-14
5555.15,4.67E-14
5557.9,4.59E-14
5560.65,4.53E-14
5563.4,4.40E-14
5566.15,4.63E-14
5568.9,4.61E-14
5571.65,4.49E-14
5574.4,4.56E-14
5577.15,4.57E-14
5579.9,4.67E-14
5582.65,4.69E-14
5585.4,4.68E-14
5588.15,4.61E-14
5590.9,4.63E-14
5593.65,4.69E-14
5596.4,4.60E-14
5599.15,4.56E-14
5601.9,4.48E-14
5604.65,4.51E-14
5607.4,4.63E-14
5610.15,4.63E-14
5612.9,4.53E-14
5615.65,4.70E-14
5618.4,4.65E-14
5621.15,4.63E-14
5623.9,4.63E-14
5626.65,4.74E-14
5629.4,4.76E-14
5632.15,4.57E-14
5634.9,4.70E-14
5637.65,4.62E-14
5640.4,4.69E-14
5643.15,4.68E-14
5645.9,4.64E-14
5648.65,4.57E-14
5651.4,4.65E-14
5654.15,4.71E-14
5656.9,4.62E-14
5659.65,4.57E-14
5662.4,4.72E-14
5665.15,4.70E-14
5667.9,4.63E-14
5670.65,4.66E-14
5673.4,4.67E-14
5676.15,4.55E-14
5678.9,4.35E-14
5681.65,4.31E-14
5684.4,4.29E-14
5687.15,4.33E-14
5689.9,4.55E-14
5692.65,4.29E-14
5695.4,4.58E-14
5698.15,4.63E-14
5700.9,4.67E-14
5703.65,4.61E-14
5706.4,4.60E-14
5709.15,4.54E-14
5711.9,4.55E-14
5714.65,4.60E-14
5717.4,4.45E-14
5720.15,4.51E-14
5722.9,4.61E-14
5725.65,4.48E-14
5728.4,4.60E-14
5731.15,4.48E-14
5733.9,4.55E-14
5736.65,4.46E-14
5739.4,4.42E-14
5742.15,4.45E-14
5744.9,4.53E-14
5747.65,4.42E-14
5750.4,4.44E-14
5753.15,4.46E-14
5755.9,4.58E-14
5758.65,4.55E-14
5761.4,4.44E-14
5764.15,4.47E-14
5766.9,4.56E-14
5769.65,4.55E-14
5772.4,4.54E-14
5775.15,4.48E-14
5777.9,4.47E-14
5780.65,4.59E-14
5783.4,4.51E-14
5786.15,4.72E-14
5788.9,4.75E-14
5791.65,4.70E-14
5794.4,4.47E-14
5797.15,4.47E-14
5799.9,4.44E-14
5802.65,4.49E-14
5805.4,4.40E-14
5808.15,4.58E-14
5810.9,4.59E-14
5813.65,4.65E-14
5816.4,4.63E-14
5819.15,4.81E-14
5821.9,4.60E-14
5824.65,4.69E-14
5827.4,4.80E-14
5830.15,4.61E-14
5832.9,4.71E-14
5835.65,4.67E-14
5838.4,4.59E-14
5841.15,4.59E-14
5843.9,4.66E-14
5846.65,4.69E-14
5849.4,4.43E-14
5852.15,4.55E-14
5854.9,4.54E-14
5857.65,4.44E-14
5860.4,4.44E-14
5863.15,4.77E-14
5865.9,4.73E-14
5868.65,4.72E-14
5871.4,4.57E-14
5874.15,4.56E-14
5876.9,4.29E-14
5879.65,4.39E-14
5882.4,4.45E-14
5885.15,4.51E-14
5887.9,4.76E-14
5890.65,4.82E-14
5893.4,4.74E-14
5896.15,4.76E-14
5898.9,4.76E-14
5901.65,5.01E-14
5904.4,4.82E-14
5907.15,4.67E-14
5909.9,4.89E-14
5912.65,4.72E-14
5915.4,4.75E-14
5918.15,4.82E-14
5920.9,4.68E-14
5923.65,4.67E-14
5926.4,4.75E-14
5929.15,4.85E-14
5931.9,4.79E-14
5934.65,4.54E-14
5937.4,4.57E-14
5940.15,4.83E-14
5942.9,4.75E-14
5945.65,4.79E-14
5948.4,4.77E-14
5951.15,4.78E-14
5953.9,4.69E-14
5956.65,4.79E-14
5959.4,4.78E-14
5962.15,4.86E-14
5964.9,5.10E-14
5967.65,5.09E-14
5970.4,4.99E-14
5973.15,5.14E-14
5975.9,5.04E-14
5978.65,4.96E-14
5981.4,4.74E-14
5984.15,4.58E-14
5986.9,4.39E-14
5989.65,4.46E-14
5992.4,4.48E-14
5995.15,4.55E-14
5997.9,4.59E-14
6000.65,4.54E-14
6003.4,4.46E-14
6006.15,4.60E-14
6008.9,4.51E-14
6011.65,4.55E-14
6014.4,4.55E-14
6017.15,4.50E-14
6019.9,4.50E-14
6022.65,4.59E-14
6025.4,4.53E-14
6028.15,4.47E-14
6030.9,4.42E-14
6033.65,4.42E-14
6036.4,4.44E-14
6039.15,4.45E-14
6041.9,4.51E-14
6044.65,4.47E-14
6047.4,4.37E-14
6050.15,4.32E-14
6052.9,4.46E-14
6055.65,4.47E-14
6058.4,4.46E-14
6061.15,4.49E-14
6063.9,4.54E-14
6066.65,4.61E-14
6069.4,4.43E-14
6072.15,4.35E-14
6074.9,4.40E-14
6077.65,4.37E-14
6080.4,4.38E-14
6083.15,4.36E-14
6085.9,4.39E-14
6088.65,4.42E-14
6091.4,4.47E-14
6094.15,4.48E-14
6096.9,4.45E-14
6099.65,4.34E-14
6102.4,4.32E-14
6105.15,4.21E-14
6107.9,4.12E-14
6110.65,4.27E-14
6113.4,4.37E-14
6116.15,4.37E-14
6118.9,4.33E-14
6121.65,4.12E-14
6124.4,4.15E-14
6127.15,4.40E-14
6129.9,4.43E-14
6132.65,4.42E-14
6135.4,4.46E-14
6138.15,4.50E-14
6140.9,4.32E-14
6143.65,4.40E-14
6146.4,4.35E-14
6149.15,4.13E-14
6151.9,4.18E-14
6154.65,4.27E-14
6157.4,4.11E-14
6160.15,4.32E-14
6162.9,4.35E-14
6165.65,4.27E-14
6168.4,4.41E-14
6171.15,4.49E-14
6173.9,4.31E-14
6176.65,4.37E-14
6179.4,4.25E-14
6182.15,4.42E-14
6184.9,4.37E-14
6187.65,4.44E-14
6190.4,4.21E-14
6193.15,4.35E-14
6195.9,4.39E-14
6198.65,4.29E-14
6201.4,4.19E-14
6204.15,4.28E-14
6206.9,4.22E-14
6209.65,4.20E-14
6212.4,4.13E-14
6215.15,4.34E-14
6217.9,4.21E-14
6220.65,4.39E-14
6223.4,4.27E-14
6226.15,4.38E-14
6228.9,4.25E-14
6231.65,4.36E-14
6234.4,4.23E-14
6237.15,4.20E-14
