wavelength,intensity
6045.14,17632.57
6047.39,17650.81
6049.64,17640.27
6051.89,17610.39
6054.15,17652.66
6056.4,17722.42
6058.65,17730.47
6060.9,17649.65
6063.15,17633.87
6065.4,17670.3
6067.65,17711.54
6069.9,17736.74
6072.15,17668.13
6074.4,17665.94
6076.65,17743.61
6078.9,17696.14
6081.15,17733.53
6083.4,17846.76
6085.65,17904.58
6087.9,17898.84
6090.15,17870.05
6092.41,17826.44
6094.66,17793.08
6096.91,17851.25
6099.16,17870.9
6101.41,17893.5
6103.66,18008.8
6105.91,18044.81
6108.16,17997.31
6110.41,17960.18
6112.66,17965.09
6114.91,17867.88
6117.16,17749.31
6119.41,17722.14
6121.66,17764.69
6123.91,17626.02
6126.16,17556.04
6128.42,17617.07
6130.67,17477.84
6132.92,17463.51
6135.17,17542.7
6137.42,17538.67
6139.67,17527.27
6141.92,17606.09
6144.17,17695.01
6146.42,17667.49
6148.67,17546.43
6150.92,17630.5
6153.17,17741.76
6155.42,17618.71
6157.67,17655.04
6159.92,17682.35
6162.17,17559.63
6164.43,17418.83
6166.68,17395.15
6168.93,17355.7
6171.18,17249.96
6173.43,17186.59
6175.68,17094.19
6177.93,16960.17
6180.18,16817.16
6182.43,16697.24
6184.68,16712.85
6186.93,16743.38
6189.18,16646.14
6191.43,16494.74
6193.68,16426.53
6195.93,16359.97
6198.18,16262.61
6200.44,16316.7
6202.69,16286.04
6204.94,16157
6207.19,16096.08
6209.44,16082.63
6211.69,16031.89
6213.94,15966.23
6216.19,15942.18
6218.44,15899.14
6220.69,15828.82
6222.94,15744.53
6225.19,15657.56
6227.44,15609.88
6229.69,15581.94
6231.94,15502.94
6234.19,15370.56
6236.45,15310.3
6238.7,15309.43
6240.95,15276.16
6243.2,15166.62
6245.45,15156.62
6247.7,15147.91
6249.95,15026.26
6252.2,15049.68
6254.45,15058.97
6256.7,15022.76
6258.95,15048.21
6261.2,15054.7
6263.45,15036.75
6265.7,15003.98
6267.95,14951.08
6270.2,14887.44
6272.46,14801.08
6274.71,14691.25
6276.96,14600.53
6279.21,14654.74
6281.46,14700.03
6283.71,14626.44
6285.96,14625.11
6288.21,14698.97
6290.46,14735.17
6292.71,14683.25
6294.96,14645.64
6297.21,14552.69
6299.46,14537.45
6301.71,14687.71
6303.96,14590.49
6306.21,14529.38
6308.47,14593.01
6310.72,14540.61
6312.97,14548.96
6315.22,14469.86
6317.47,14362.88
6319.72,14516.57
6321.97,14507.64
6324.22,14385.2
6326.47,14347.66
6328.72,14325
6330.97,14263.38
6333.22,14247.77
6335.47,14323.17
6337.72,14325.78
6339.97,14264.48
6342.22,14231.72
6344.47,14273.56
6346.73,14285.49
6348.98,14277.81
6351.23,14272.87
6353.48,14270.17
6355.73,14368.76
6357.98,14366.85
6360.23,14220.13
6362.48,14208.23
6364.73,14299.07
6366.98,14310.87
6369.23,14232.89
6371.48,14294.21
6373.73,14361.5
6375.98,14355.88
6378.23,14332.47
6380.48,14341.1
6382.74,14386.75
6384.99,14410.02
6387.24,14377.76
6389.49,14400.77
6391.74,14379.08
6393.99,14330.33
6396.24,14394.69
6398.49,14402.75
6400.74,14425.69
6402.99,14507.83
6405.24,14499.86
6407.49,14443.64
6409.74,14409.71
6411.99,14422.91
6414.24,14420.56
6416.49,14400.08
6418.75,14381.42
6421,14365.9
6423.25,14349.5
6425.5,14287.45
6427.75,14255.85
6430,14305.76
6432.25,14201.37
6434.5,14052.98
6436.75,14035.52
6439,14144.51
6441.25,14125.77
6443.5,14071.48
6445.75,14089.27
6448,14013.39
6450.25,13950.2
6452.5,13901.5
6454.76,13839.56
6457.01,13867.36
6459.26,13874.8
6461.51,13813.72
6463.76,13742
6466.01,13663.59
6468.26,13658.14
6470.51,13686.03
6472.76,13620.06
6475.01,13603.28
6477.26,13642.68
6479.51,13644.67
6481.76,13558.32
6484.01,13522.1
6486.26,13525.23
6488.51,13501.28
6490.77,13500.78
6493.02,13439.99
6495.27,13410.32
6497.52,13528.49
6499.77,13585.81
6502.02,13554.59
6504.27,13475.66
6506.52,13394.21
6508.77,13392.1
6511.02,13384.61
6513.27,13340.31
6515.52,13374.19
6517.77,13425.17
6520.02,13420.55
6522.27,13392.93
6524.52,13463.56
6526.78,13469.86
6529.03,13428.02
6531.28,13450.44
6533.53,13430.15
6535.78,13430.32
6538.03,13420.33
6540.28,13336.66
6542.53,13426.88
6544.78,13478.55
6547.03,13371.79
6549.28,13342.92
6551.53,13393.69
6553.78,13402.95
6556.03,13346.41
6558.28,13376.05
6560.53,13441.63
6562.78,13470.35
6565.04,13444.07
6567.29,13390.12
6569.54,13412.58
6571.79,13473.09
6574.04,13422.93
6576.29,13370.58
6578.54,13388.93
6580.79,13427.1
6583.04,13409.95
6585.29,13367.91
6587.54,13352.65
6589.79,13395.39
6592.04,13458.28
6594.29,13398.02
6596.54,13309.59
6598.79,13348.98
6601.05,13367.22
6603.3,13352.26
6605.55,13339.02
6607.8,13328.41
6610.05,13363.15
6612.3,13400.65
6614.55,13390.16
6616.8,13354.09
6619.05,13296.48
6621.3,13240.71
6623.55,13216.87
6625.8,13221.96
6628.05,13265.69
6630.3,13305.58
6632.55,13279.2
6634.8,13252.09
6637.06,13240.98
6639.31,13244.76
6641.56,13264.23
6643.81,13259.95
6646.06,13218.55
